#
# Dark matter halo distribution from Press-Schechter formalism
#
# Columns
#---------
# * Redshifts: 0.0 -> 3.02, step 0.02, bins 152
# * Halo mass: 1e12 -> 9.12e15 [Msun], log-even, bins 100
# * Density: number/dVc/dM
#   where,
#   - dVc: differential comvoing volume, Mpc^3/sr/[unit redshift]
#
# redshift               halo_mass[Msun]          density
0.000000000000000000e+00 1.318256400000000000e+13 1.781414699999999846e-17
0.000000000000000000e+00 1.445439300000000000e+13 1.485463800000000100e-17
0.000000000000000000e+00 1.584892500000000000e+13 1.237800300000000000e-17
0.000000000000000000e+00 1.737799900000000000e+13 1.030654099999999983e-17
0.000000000000000000e+00 1.905459500000000000e+13 8.574943799999999758e-18
0.000000000000000000e+00 2.089294600000000000e+13 7.128261999999999333e-18
0.000000000000000000e+00 2.290865900000000000e+13 5.920390099999999615e-18
0.000000000000000000e+00 2.511884200000000000e+13 4.912579699999999624e-18
0.000000000000000000e+00 2.754226000000000000e+13 4.072282500000000348e-18
0.000000000000000000e+00 3.019948600000000000e+13 3.372169499999999920e-18
0.000000000000000000e+00 3.311307400000000000e+13 2.789326199999999939e-18
0.000000000000000000e+00 3.630784200000000000e+13 2.304499799999999892e-18
0.000000000000000000e+00 3.981075200000000000e+13 1.901588300000000123e-18
0.000000000000000000e+00 4.365161900000000000e+13 1.567056600000000007e-18
0.000000000000000000e+00 4.786304400000000000e+13 1.289583000000000074e-18
0.000000000000000000e+00 5.248078000000000000e+13 1.059678499999999935e-18
0.000000000000000000e+00 5.754402200000000000e+13 8.694040499999999603e-19
0.000000000000000000e+00 6.309576200000000000e+13 7.121173100000000015e-19
0.000000000000000000e+00 6.918312300000000000e+13 5.822675299999999996e-19
0.000000000000000000e+00 7.585777900000000000e+13 4.752150599999999762e-19
0.000000000000000000e+00 8.317639500000000000e+13 3.870842099999999981e-19
0.000000000000000000e+00 9.120108900000000000e+13 3.146428299999999868e-19
0.000000000000000000e+00 1.000000000000000000e+14 2.551959999999999766e-19
0.000000000000000000e+00 1.096478100000000000e+14 2.064976399999999975e-19
0.000000000000000000e+00 1.202264200000000000e+14 1.666790299999999922e-19
0.000000000000000000e+00 1.318256400000000000e+14 1.341857900000000072e-19
0.000000000000000000e+00 1.445439200000000000e+14 1.077261200000000019e-19
0.000000000000000000e+00 1.584892400000000000e+14 8.622866699999999817e-20
0.000000000000000000e+00 1.737800000000000000e+14 6.880490300000000489e-20
0.000000000000000000e+00 1.905459600000000000e+14 5.471912799999999991e-20
0.000000000000000000e+00 2.089294700000000000e+14 4.336318599999999775e-20
0.000000000000000000e+00 2.290865800000000000e+14 3.423498000000000059e-20
0.000000000000000000e+00 2.511884300000000000e+14 2.692045399999999876e-20
0.000000000000000000e+00 2.754226000000000000e+14 2.107895099999999983e-20
0.000000000000000000e+00 3.019948500000000000e+14 1.643061600000000053e-20
0.000000000000000000e+00 3.311307400000000000e+14 1.274587499999999955e-20
0.000000000000000000e+00 3.630776100000000000e+14 9.837028099999999249e-21
0.000000000000000000e+00 3.981075300000000000e+14 7.550763099999999767e-21
0.000000000000000000e+00 4.365161800000000000e+14 5.762362699999999662e-21
0.000000000000000000e+00 4.786304200000000000e+14 4.370474600000000086e-21
0.000000000000000000e+00 5.248077900000000000e+14 3.293034900000000103e-21
0.000000000000000000e+00 5.754402600000000000e+14 2.463866300000000175e-21
0.000000000000000000e+00 6.309576100000000000e+14 1.829729800000000028e-21
0.000000000000000000e+00 6.918311800000000000e+14 1.348000899999999960e-21
0.000000000000000000e+00 7.585777900000000000e+14 9.846700699999999492e-22
0.000000000000000000e+00 8.317639000000000000e+14 7.127579700000000420e-22
0.000000000000000000e+00 9.120109400000000000e+14 5.109429099999999810e-22
0.000000000000000000e+00 9.999999900000000000e+14 3.624892299999999809e-22
0.000000000000000000e+00 1.096478100000000000e+15 2.543288599999999837e-22
0.000000000000000000e+00 1.202264200000000000e+15 1.763365799999999911e-22
0.000000000000000000e+00 1.318256300000000000e+15 1.207190800000000116e-22
0.000000000000000000e+00 1.445439300000000000e+15 8.152819399999999497e-23
0.000000000000000000e+00 1.584892500000000000e+15 5.426514199999999855e-23
0.000000000000000000e+00 1.737799900000000000e+15 3.556031299999999996e-23
0.000000000000000000e+00 1.905459600000000000e+15 2.291691300000000104e-23
0.000000000000000000e+00 2.089294600000000000e+15 1.450682199999999893e-23
0.000000000000000000e+00 2.290865800000000000e+15 9.008420799999999971e-24
0.000000000000000000e+00 2.511884200000000000e+15 5.479946100000000026e-24
0.000000000000000000e+00 2.754226200000000000e+15 3.260617099999999847e-24
0.000000000000000000e+00 3.019948500000000000e+15 1.894532500000000075e-24
0.000000000000000000e+00 3.311307300000000000e+15 1.073058700000000058e-24
0.000000000000000000e+00 3.630776100000000000e+15 5.913294399999999901e-25
0.000000000000000000e+00 3.981075200000000000e+15 3.163851399999999991e-25
0.000000000000000000e+00 4.365161800000000000e+15 1.639916099999999887e-25
0.000000000000000000e+00 4.786304000000000000e+15 8.214732199999999991e-26
0.000000000000000000e+00 5.248078000000000000e+15 3.966219100000000151e-26
0.000000000000000000e+00 5.754402600000000000e+15 1.840598199999999910e-26
0.000000000000000000e+00 6.309576500000000000e+15 8.184243200000000429e-27
0.000000000000000000e+00 6.918312400000000000e+15 3.475250800000000229e-27
0.000000000000000000e+00 7.585777700000000000e+15 1.404151299999999974e-27
0.000000000000000000e+00 8.317639000000000000e+15 5.377102500000000447e-28
0.000000000000000000e+00 9.120109600000000000e+15 1.943226000000000059e-28
2.000000000000000042e-02 1.000000000000000000e+12 2.535505500000000077e-15
2.000000000000000042e-02 1.096478100000000000e+12 2.134581700000000155e-15
2.000000000000000042e-02 1.202264200000000000e+12 1.796792400000000115e-15
2.000000000000000042e-02 1.318256400000000000e+12 1.512227100000000051e-15
2.000000000000000042e-02 1.445439200000000000e+12 1.272520900000000053e-15
2.000000000000000042e-02 1.584892500000000000e+12 1.070626700000000007e-15
2.000000000000000042e-02 1.737799900000000000e+12 9.005964499999999300e-16
2.000000000000000042e-02 1.905459600000000000e+12 7.574235800000000352e-16
2.000000000000000042e-02 2.089294600000000000e+12 6.368767100000000076e-16
2.000000000000000042e-02 2.290865900000000000e+12 5.353977199999999991e-16
2.000000000000000042e-02 2.511884300000000000e+12 4.499824400000000213e-16
2.000000000000000042e-02 2.754226200000000000e+12 3.780994400000000226e-16
2.000000000000000042e-02 3.019948400000000000e+12 3.176162300000000102e-16
2.000000000000000042e-02 3.311314700000000000e+12 2.667320500000000228e-16
2.000000000000000042e-02 3.630784100000000000e+12 2.239343900000000203e-16
2.000000000000000042e-02 3.981075300000000000e+12 1.879450700000000023e-16
2.000000000000000042e-02 4.365161900000000000e+12 1.576867499999999980e-16
2.000000000000000042e-02 4.786304300000000000e+12 1.322537299999999983e-16
2.000000000000000042e-02 5.248077800000000000e+12 1.108812499999999985e-16
2.000000000000000042e-02 5.754402600000000000e+12 9.292601899999999531e-17
2.000000000000000042e-02 6.309576400000000000e+12 7.784588099999999501e-17
2.000000000000000042e-02 6.918312000000000000e+12 6.518412899999999477e-17
2.000000000000000042e-02 7.585777800000000000e+12 5.455640600000000053e-17
2.000000000000000042e-02 8.317639300000000000e+12 4.563891900000000292e-17
2.000000000000000042e-02 9.120109300000000000e+12 3.815920500000000171e-17
2.000000000000000042e-02 9.999999800000000000e+12 3.188774999999999736e-17
2.000000000000000042e-02 1.096478100000000000e+13 2.663144900000000063e-17
2.000000000000000042e-02 1.202264200000000000e+13 2.222792300000000128e-17
2.000000000000000042e-02 1.318256400000000000e+13 1.854043800000000029e-17
2.000000000000000042e-02 1.445439300000000000e+13 1.545404700000000129e-17
2.000000000000000042e-02 1.584892500000000000e+13 1.287208000000000000e-17
2.000000000000000042e-02 1.737799900000000000e+13 1.071325899999999983e-17
2.000000000000000042e-02 1.905459500000000000e+13 8.909281099999999714e-18
2.000000000000000042e-02 2.089294600000000000e+13 7.402689899999999753e-18
2.000000000000000042e-02 2.290865900000000000e+13 6.145284800000000290e-18
2.000000000000000042e-02 2.511884200000000000e+13 5.096570399999999642e-18
2.000000000000000042e-02 2.754226000000000000e+13 4.222537800000000332e-18
2.000000000000000042e-02 3.019948600000000000e+13 3.494638300000000286e-18
2.000000000000000042e-02 3.311307400000000000e+13 2.888942100000000028e-18
2.000000000000000042e-02 3.630784200000000000e+13 2.385348400000000110e-18
2.000000000000000042e-02 3.981075200000000000e+13 1.967050800000000093e-18
2.000000000000000042e-02 4.365161900000000000e+13 1.619927100000000083e-18
2.000000000000000042e-02 4.786304400000000000e+13 1.332167899999999923e-18
2.000000000000000042e-02 5.248078000000000000e+13 1.093878300000000051e-18
2.000000000000000042e-02 5.754402200000000000e+13 8.967833099999999093e-19
2.000000000000000042e-02 6.309576200000000000e+13 7.339616499999999675e-19
2.000000000000000042e-02 6.918312300000000000e+13 5.996316500000000436e-19
2.000000000000000042e-02 7.585777900000000000e+13 4.889623299999999608e-19
2.000000000000000042e-02 8.317639500000000000e+13 3.979205300000000225e-19
2.000000000000000042e-02 9.120108900000000000e+13 3.231437700000000238e-19
2.000000000000000042e-02 1.000000000000000000e+14 2.618299100000000193e-19
2.000000000000000042e-02 1.096478100000000000e+14 2.116445999999999895e-19
2.000000000000000042e-02 1.202264200000000000e+14 1.706466500000000013e-19
2.000000000000000042e-02 1.318256400000000000e+14 1.372223699999999952e-19
2.000000000000000042e-02 1.445439200000000000e+14 1.100313699999999949e-19
2.000000000000000042e-02 1.584892400000000000e+14 8.796265100000000452e-20
2.000000000000000042e-02 1.737800000000000000e+14 7.009545300000000551e-20
2.000000000000000042e-02 1.905459600000000000e+14 5.566783399999999660e-20
2.000000000000000042e-02 2.089294700000000000e+14 4.405045299999999792e-20
2.000000000000000042e-02 2.290865800000000000e+14 3.472407599999999818e-20
2.000000000000000042e-02 2.511884300000000000e+14 2.726088699999999705e-20
2.000000000000000042e-02 2.754226000000000000e+14 2.130919200000000072e-20
2.000000000000000042e-02 3.019948500000000000e+14 1.658034300000000045e-20
2.000000000000000042e-02 3.311307400000000000e+14 1.283777399999999956e-20
2.000000000000000042e-02 3.630776100000000000e+14 9.888279399999999656e-21
2.000000000000000042e-02 3.981075300000000000e+14 7.574218200000000685e-21
2.000000000000000042e-02 4.365161800000000000e+14 5.767511599999999698e-21
2.000000000000000042e-02 4.786304200000000000e+14 4.364204100000000323e-21
2.000000000000000042e-02 5.248077900000000000e+14 3.280237799999999837e-21
2.000000000000000042e-02 5.754402600000000000e+14 2.447932599999999884e-21
2.000000000000000042e-02 6.309576100000000000e+14 1.812923400000000111e-21
2.000000000000000042e-02 6.918311800000000000e+14 1.331758799999999909e-21
2.000000000000000042e-02 7.585777900000000000e+14 9.698337300000000085e-22
2.000000000000000042e-02 8.317639000000000000e+14 6.997506699999999564e-22
2.000000000000000042e-02 9.120109400000000000e+14 4.999042100000000381e-22
2.000000000000000042e-02 9.999999900000000000e+14 3.533750800000000023e-22
2.000000000000000042e-02 1.096478100000000000e+15 2.469845200000000225e-22
2.000000000000000042e-02 1.202264200000000000e+15 1.705495899999999960e-22
2.000000000000000042e-02 1.318256300000000000e+15 1.162552500000000020e-22
2.000000000000000042e-02 1.445439300000000000e+15 7.815553600000000225e-23
2.000000000000000042e-02 1.584892500000000000e+15 5.176864000000000065e-23
2.000000000000000042e-02 1.737799900000000000e+15 3.375016699999999724e-23
2.000000000000000042e-02 1.905459600000000000e+15 2.163175399999999915e-23
2.000000000000000042e-02 2.089294600000000000e+15 1.361397499999999936e-23
2.000000000000000042e-02 2.290865800000000000e+15 8.401935799999999572e-24
2.000000000000000042e-02 2.511884200000000000e+15 5.077549800000000115e-24
2.000000000000000042e-02 2.754226200000000000e+15 3.000140400000000102e-24
2.000000000000000042e-02 3.019948500000000000e+15 1.730259299999999953e-24
2.000000000000000042e-02 3.311307300000000000e+15 9.722751100000000195e-25
2.000000000000000042e-02 3.630776100000000000e+15 5.312820400000000387e-25
2.000000000000000042e-02 3.981075200000000000e+15 2.817070899999999809e-25
2.000000000000000042e-02 4.365161800000000000e+15 1.446198899999999957e-25
2.000000000000000042e-02 4.786304000000000000e+15 7.170384499999999653e-26
2.000000000000000042e-02 5.248078000000000000e+15 3.424247999999999873e-26
2.000000000000000042e-02 5.754402600000000000e+15 1.570582000000000038e-26
2.000000000000000042e-02 6.309576500000000000e+15 6.896704299999999717e-27
2.000000000000000042e-02 6.918312400000000000e+15 2.889560099999999854e-27
2.000000000000000042e-02 7.585777700000000000e+15 1.150887199999999956e-27
2.000000000000000042e-02 8.317639000000000000e+15 4.340096099999999855e-28
2.000000000000000042e-02 9.120109600000000000e+15 1.542874599999999966e-28
4.000000000000000083e-02 1.000000000000000000e+12 2.652743499999999952e-15
4.000000000000000083e-02 1.096478100000000000e+12 2.232946799999999912e-15
4.000000000000000083e-02 1.202264200000000000e+12 1.879300399999999917e-15
4.000000000000000083e-02 1.318256400000000000e+12 1.581414300000000009e-15
4.000000000000000083e-02 1.445439200000000000e+12 1.330520700000000045e-15
4.000000000000000083e-02 1.584892500000000000e+12 1.119232599999999971e-15
4.000000000000000083e-02 1.737799900000000000e+12 9.413160799999999956e-16
4.000000000000000083e-02 1.905459600000000000e+12 7.915245499999999611e-16
4.000000000000000083e-02 2.089294600000000000e+12 6.654240000000000424e-16
4.000000000000000083e-02 2.290865900000000000e+12 5.592863800000000231e-16
4.000000000000000083e-02 2.511884300000000000e+12 4.699643199999999602e-16
4.000000000000000083e-02 2.754226200000000000e+12 3.948060800000000155e-16
4.000000000000000083e-02 3.019948400000000000e+12 3.315779299999999842e-16
4.000000000000000083e-02 3.311314700000000000e+12 2.783939999999999933e-16
4.000000000000000083e-02 3.630784100000000000e+12 2.336703699999999912e-16
4.000000000000000083e-02 3.981075300000000000e+12 1.960686599999999937e-16
4.000000000000000083e-02 4.365161900000000000e+12 1.644610000000000064e-16
4.000000000000000083e-02 4.786304300000000000e+12 1.378993100000000083e-16
4.000000000000000083e-02 5.248077800000000000e+12 1.155831200000000019e-16
4.000000000000000083e-02 5.754402600000000000e+12 9.683925200000000087e-17
4.000000000000000083e-02 6.309576400000000000e+12 8.110036100000000544e-17
4.000000000000000083e-02 6.918312000000000000e+12 6.788866499999999852e-17
4.000000000000000083e-02 7.585777800000000000e+12 5.680208900000000452e-17
4.000000000000000083e-02 8.317639300000000000e+12 4.750198500000000154e-17
4.000000000000000083e-02 9.120109300000000000e+12 3.970342900000000062e-17
4.000000000000000083e-02 9.999999800000000000e+12 3.316645500000000183e-17
4.000000000000000083e-02 1.096478100000000000e+13 2.768919399999999885e-17
4.000000000000000083e-02 1.202264200000000000e+13 2.310193700000000074e-17
4.000000000000000083e-02 1.318256400000000000e+13 1.926179899999999918e-17
4.000000000000000083e-02 1.445439300000000000e+13 1.604868399999999854e-17
4.000000000000000083e-02 1.584892500000000000e+13 1.336161500000000022e-17
4.000000000000000083e-02 1.737799900000000000e+13 1.111570799999999928e-17
4.000000000000000083e-02 1.905459500000000000e+13 9.239647100000000318e-18
4.000000000000000083e-02 2.089294600000000000e+13 7.673457600000000399e-18
4.000000000000000083e-02 2.290865900000000000e+13 6.366831900000000037e-18
4.000000000000000083e-02 2.511884200000000000e+13 5.277521100000000020e-18
4.000000000000000083e-02 2.754226000000000000e+13 4.370048500000000062e-18
4.000000000000000083e-02 3.019948600000000000e+13 3.614642799999999762e-18
4.000000000000000083e-02 3.311307400000000000e+13 2.986356499999999814e-18
4.000000000000000083e-02 3.630784200000000000e+13 2.464239499999999929e-18
4.000000000000000083e-02 3.981075200000000000e+13 2.030780499999999900e-18
4.000000000000000083e-02 4.365161900000000000e+13 1.671270099999999957e-18
4.000000000000000083e-02 4.786304400000000000e+13 1.373411100000000000e-18
4.000000000000000083e-02 5.248078000000000000e+13 1.126904799999999957e-18
4.000000000000000083e-02 5.754402200000000000e+13 9.231400799999999114e-19
4.000000000000000083e-02 6.309576200000000000e+13 7.549180099999999829e-19
4.000000000000000083e-02 6.918312300000000000e+13 6.162273800000000061e-19
4.000000000000000083e-02 7.585777900000000000e+13 5.020475500000000384e-19
4.000000000000000083e-02 8.317639500000000000e+13 4.081882499999999800e-19
4.000000000000000083e-02 9.120108900000000000e+13 3.311582699999999996e-19
4.000000000000000083e-02 1.000000000000000000e+14 2.680491700000000073e-19
4.000000000000000083e-02 1.096478100000000000e+14 2.164395099999999933e-19
4.000000000000000083e-02 1.202264200000000000e+14 1.743165800000000071e-19
4.000000000000000083e-02 1.318256400000000000e+14 1.400082400000000106e-19
4.000000000000000083e-02 1.445439200000000000e+14 1.121263700000000018e-19
4.000000000000000083e-02 1.584892400000000000e+14 8.952111800000000265e-20
4.000000000000000083e-02 1.737800000000000000e+14 7.124016100000000590e-20
4.000000000000000083e-02 1.905459600000000000e+14 5.649595100000000173e-20
4.000000000000000083e-02 2.089294700000000000e+14 4.463852700000000197e-20
4.000000000000000083e-02 2.290865800000000000e+14 3.513201800000000258e-20
4.000000000000000083e-02 2.511884300000000000e+14 2.753530100000000164e-20
4.000000000000000083e-02 2.754226000000000000e+14 2.148605700000000137e-20
4.000000000000000083e-02 3.019948500000000000e+14 1.668719299999999875e-20
4.000000000000000083e-02 3.311307400000000000e+14 1.289547000000000068e-20
4.000000000000000083e-02 3.630776100000000000e+14 9.912448600000000568e-21
4.000000000000000083e-02 3.981075300000000000e+14 7.576401700000000411e-21
4.000000000000000083e-02 4.365161800000000000e+14 5.756097399999999838e-21
4.000000000000000083e-02 4.786304200000000000e+14 4.345152300000000368e-21
4.000000000000000083e-02 5.248077900000000000e+14 3.257680399999999959e-21
4.000000000000000083e-02 5.754402600000000000e+14 2.424626099999999991e-21
4.000000000000000083e-02 6.309576100000000000e+14 1.790613799999999854e-21
4.000000000000000083e-02 6.918311800000000000e+14 1.311462800000000024e-21
4.000000000000000083e-02 7.585777900000000000e+14 9.520549999999999388e-22
4.000000000000000083e-02 8.317639000000000000e+14 6.846425100000000200e-22
4.000000000000000083e-02 9.120109400000000000e+14 4.873931000000000335e-22
4.000000000000000083e-02 9.999999900000000000e+14 3.432504399999999859e-22
4.000000000000000083e-02 1.096478100000000000e+15 2.389638199999999847e-22
4.000000000000000083e-02 1.202264200000000000e+15 1.643230800000000094e-22
4.000000000000000083e-02 1.318256300000000000e+15 1.115158999999999953e-22
4.000000000000000083e-02 1.445439300000000000e+15 7.461806300000000504e-23
4.000000000000000083e-02 1.584892500000000000e+15 4.917977200000000100e-23
4.000000000000000083e-02 1.737799900000000000e+15 3.189321099999999785e-23
4.000000000000000083e-02 1.905459600000000000e+15 2.032703200000000113e-23
4.000000000000000083e-02 2.089294600000000000e+15 1.271669299999999938e-23
4.000000000000000083e-02 2.290865800000000000e+15 7.798513999999999999e-24
4.000000000000000083e-02 2.511884200000000000e+15 4.681173200000000282e-24
4.000000000000000083e-02 2.754226200000000000e+15 2.746135299999999857e-24
4.000000000000000083e-02 3.019948500000000000e+15 1.571699299999999961e-24
4.000000000000000083e-02 3.311307300000000000e+15 8.760087400000000500e-25
4.000000000000000083e-02 3.630776100000000000e+15 4.745401699999999559e-25
4.000000000000000083e-02 3.981075200000000000e+15 2.493005100000000151e-25
4.000000000000000083e-02 4.365161800000000000e+15 1.267249299999999996e-25
4.000000000000000083e-02 4.786304000000000000e+15 6.217213099999999868e-26
4.000000000000000083e-02 5.248078000000000000e+15 2.935795799999999785e-26
4.000000000000000083e-02 5.754402600000000000e+15 1.330435800000000124e-26
4.000000000000000083e-02 6.309576500000000000e+15 5.767468399999999668e-27
4.000000000000000083e-02 6.918312400000000000e+15 2.383396500000000164e-27
4.000000000000000083e-02 7.585777700000000000e+15 9.354011600000000367e-28
4.000000000000000083e-02 8.317639000000000000e+15 3.472260999999999998e-28
4.000000000000000083e-02 9.120109600000000000e+15 1.213673999999999977e-28
5.999999999999999778e-02 1.000000000000000000e+12 2.771088200000000157e-15
5.999999999999999778e-02 1.096478100000000000e+12 2.332204199999999946e-15
5.999999999999999778e-02 1.202264200000000000e+12 1.962525400000000002e-15
5.999999999999999778e-02 1.318256400000000000e+12 1.651175599999999946e-15
5.999999999999999778e-02 1.445439200000000000e+12 1.388977899999999925e-15
5.999999999999999778e-02 1.584892500000000000e+12 1.168201099999999931e-15
5.999999999999999778e-02 1.737799900000000000e+12 9.823215800000000660e-16
5.999999999999999778e-02 1.905459600000000000e+12 8.258492900000000283e-16
5.999999999999999778e-02 2.089294600000000000e+12 6.941449299999999748e-16
5.999999999999999778e-02 2.290865900000000000e+12 5.833084499999999894e-16
5.999999999999999778e-02 2.511884300000000000e+12 4.900474700000000073e-16
5.999999999999999778e-02 2.754226200000000000e+12 4.115883400000000016e-16
5.999999999999999778e-02 3.019948400000000000e+12 3.455949999999999980e-16
5.999999999999999778e-02 3.311314700000000000e+12 2.900953600000000174e-16
5.999999999999999778e-02 3.630784100000000000e+12 2.434332999999999910e-16
5.999999999999999778e-02 3.981075300000000000e+12 2.042095500000000013e-16
5.999999999999999778e-02 4.365161900000000000e+12 1.712451900000000002e-16
5.999999999999999778e-02 4.786304300000000000e+12 1.435492399999999993e-16
5.999999999999999778e-02 5.248077800000000000e+12 1.202852200000000010e-16
5.999999999999999778e-02 5.754402600000000000e+12 1.007496900000000043e-16
5.999999999999999778e-02 6.309576400000000000e+12 8.434994300000000039e-17
5.999999999999999778e-02 6.918312000000000000e+12 7.058687499999999981e-17
5.999999999999999778e-02 7.585777800000000000e+12 5.904055899999999689e-17
5.999999999999999778e-02 8.317639300000000000e+12 4.935736400000000117e-17
5.999999999999999778e-02 9.120109300000000000e+12 4.123979399999999822e-17
5.999999999999999778e-02 9.999999800000000000e+12 3.443736200000000142e-17
5.999999999999999778e-02 1.096478100000000000e+13 2.873936799999999999e-17
5.999999999999999778e-02 1.202264200000000000e+13 2.396872100000000150e-17
5.999999999999999778e-02 1.318256400000000000e+13 1.997634400000000064e-17
5.999999999999999778e-02 1.445439300000000000e+13 1.663696299999999972e-17
5.999999999999999778e-02 1.584892500000000000e+13 1.384527400000000018e-17
5.999999999999999778e-02 1.737799900000000000e+13 1.151277000000000010e-17
5.999999999999999778e-02 1.905459500000000000e+13 9.565108000000000765e-18
5.999999999999999778e-02 2.089294600000000000e+13 7.939782399999999578e-18
5.999999999999999778e-02 2.290865900000000000e+13 6.584380400000000047e-18
5.999999999999999778e-02 2.511884200000000000e+13 5.454888500000000370e-18
5.999999999999999778e-02 2.754226000000000000e+13 4.514363400000000102e-18
5.999999999999999778e-02 3.019948600000000000e+13 3.731808799999999836e-18
5.999999999999999778e-02 3.311307400000000000e+13 3.081259800000000140e-18
5.999999999999999778e-02 3.630784200000000000e+13 2.540916899999999854e-18
5.999999999999999778e-02 3.981075200000000000e+13 2.092566600000000148e-18
5.999999999999999778e-02 4.365161900000000000e+13 1.720911899999999917e-18
5.999999999999999778e-02 4.786304400000000000e+13 1.413171000000000020e-18
5.999999999999999778e-02 5.248078000000000000e+13 1.158642000000000048e-18
5.999999999999999778e-02 5.754402200000000000e+13 9.483801500000000758e-19
5.999999999999999778e-02 6.309576200000000000e+13 7.749104499999999772e-19
5.999999999999999778e-02 6.918312300000000000e+13 6.319939099999999838e-19
5.999999999999999778e-02 7.585777900000000000e+13 5.144216100000000443e-19
5.999999999999999778e-02 8.317639500000000000e+13 4.178483999999999867e-19
5.999999999999999778e-02 9.120108900000000000e+13 3.386554500000000210e-19
5.999999999999999778e-02 1.000000000000000000e+14 2.738295899999999807e-19
5.999999999999999778e-02 1.096478100000000000e+14 2.208635000000000189e-19
5.999999999999999778e-02 1.202264200000000000e+14 1.776742999999999953e-19
5.999999999999999778e-02 1.318256400000000000e+14 1.425323700000000078e-19
5.999999999999999778e-02 1.445439200000000000e+14 1.140028700000000059e-19
5.999999999999999778e-02 1.584892400000000000e+14 9.089800500000000155e-20
5.999999999999999778e-02 1.737800000000000000e+14 7.223465899999999742e-20
5.999999999999999778e-02 1.905459600000000000e+14 5.720043100000000359e-20
5.999999999999999778e-02 2.089294700000000000e+14 4.512534600000000124e-20
5.999999999999999778e-02 2.290865800000000000e+14 3.545751999999999830e-20
5.999999999999999778e-02 2.511884300000000000e+14 2.774298499999999978e-20
5.999999999999999778e-02 2.754226000000000000e+14 2.160923900000000023e-20
5.999999999999999778e-02 3.019948500000000000e+14 1.675114899999999869e-20
5.999999999999999778e-02 3.311307400000000000e+14 1.291913799999999964e-20
5.999999999999999778e-02 3.630776100000000000e+14 9.909828900000000375e-21
5.999999999999999778e-02 3.981075300000000000e+14 7.557674600000000184e-21
5.999999999999999778e-02 4.365161800000000000e+14 5.728501999999999889e-21
5.999999999999999778e-02 4.786304200000000000e+14 4.313706100000000084e-21
5.999999999999999778e-02 5.248077900000000000e+14 3.225727299999999955e-21
5.999999999999999778e-02 5.754402600000000000e+14 2.394279300000000130e-21
5.999999999999999778e-02 6.309576100000000000e+14 1.763097299999999958e-21
5.999999999999999778e-02 6.918311800000000000e+14 1.287370799999999981e-21
5.999999999999999778e-02 7.585777900000000000e+14 9.315522900000000159e-22
5.999999999999999778e-02 8.317639000000000000e+14 6.676150300000000120e-22
5.999999999999999778e-02 9.120109400000000000e+14 4.735573700000000215e-22
5.999999999999999778e-02 9.999999900000000000e+14 3.322335499999999910e-22
5.999999999999999778e-02 1.096478100000000000e+15 2.303593000000000124e-22
5.999999999999999778e-02 1.202264200000000000e+15 1.577278999999999945e-22
5.999999999999999778e-02 1.318256300000000000e+15 1.065544600000000098e-22
